"Label (Grouping)","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harris County, Texas!!Percent","Harris County, Texas!!Percent Margin of Error"
"        In labor force:","2,364,813","±14,347","2,364,813","(X)"
"            Employed:","2,232,746","±16,895","2,232,746","(X)"
"                With health insurance coverage","1,721,197","±21,020","77.1%","±0.7"
"                    With private health insurance","1,615,625","±20,130","72.4%","±0.7"
"                    With public coverage","157,545","±9,197","7.1%","±0.4"
"                No health insurance coverage","511,549","±16,474","22.9%","±0.7"
"            Unemployed:","132,067","±8,968","132,067","(X)"
"                With health insurance coverage","69,289","±7,098","52.5%","±3.2"
"                    With private health insurance","48,764","±5,943","36.9%","±3.1"
"                    With public coverage","22,786","±3,815","17.3%","±2.6"
"                No health insurance coverage","62,778","±5,050","47.5%","±3.2"
"        Not in labor force:","561,786","±13,684","561,786","(X)"
"            With health insurance coverage","369,615","±12,749","65.8%","±1.5"
"                With private health insurance","251,215","±11,323","44.7%","±1.8"
"                With public coverage","143,884","±8,876","25.6%","±1.3"
"            No health insurance coverage","192,171","±9,394","34.2%","±1.5"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","12.8%","±0.6"
"        With related children of the householder under 18 years","(X)","(X)","18.5%","±1.1"
"            With related children of the householder under 5 years only","(X)","(X)","15.5%","±2.7"
"        Married couple families","(X)","(X)","7.9%","±0.6"
"            With related children of the householder under 18 years","(X)","(X)","10.7%","±1.1"
"                With related children of the householder under 5 years only","(X)","(X)","7.6%","±2.2"
"        Families with female householder, no spouse present","(X)","(X)","27.7%","±1.8"
"            With related children of the householder under 18 years","(X)","(X)","36.7%","±2.6"
"                With related children of the householder under 5 years only","(X)","(X)","35.9%","±7.6"
"    All people","(X)","(X)","16.0%","±0.6"
"        Under 18 years","(X)","(X)","23.0%","±1.5"
"            Related children of the householder under 18 years","(X)","(X)","22.8%","±1.5"
"                Related children of the householder under 5 years","(X)","(X)","24.5%","±2.0"
"                Related children of the householder 5 to 17 years","(X)","(X)","22.2%","±1.6"
"        18 years and over","(X)","(X)","13.6%","±0.5"
"            18 to 64 years","(X)","(X)","13.7%","±0.5"
"            65 years and over","(X)","(X)","13.4%","±1.0"
"        People in families","(X)","(X)","14.4%","±0.7"
"        Unrelated individuals 15 years and over","(X)","(X)","23.8%","±1.0"
