"Label (Grouping)","Maricopa County, Arizona!!Estimate","Maricopa County, Arizona!!Margin of Error","Maricopa County, Arizona!!Percent","Maricopa County, Arizona!!Percent Margin of Error"
"        10.0 to 14.9 percent","57,592","±3,746","15.1%","±0.9"
"        15.0 to 19.9 percent","32,512","±3,257","8.5%","±0.8"
"        20.0 to 24.9 percent","18,504","±2,078","4.9%","±0.5"
"        25.0 to 29.9 percent","12,056","±1,811","3.2%","±0.5"
"        30.0 to 34.9 percent","8,401","±1,576","2.2%","±0.4"
"        35.0 percent or more","36,560","±3,294","9.6%","±0.8"
"        Not computed","7,662","±1,699","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","587,711","±11,670","587,711","(X)"
"        Less than $500","15,120","±2,494","2.6%","±0.4"
"        $500 to $999","43,167","±4,061","7.3%","±0.7"
"        $1,000 to $1,499","131,020","±6,893","22.3%","±1.1"
"        $1,500 to $1,999","196,334","±8,682","33.4%","±1.3"
"        $2,000 to $2,499","120,493","±6,803","20.5%","±1.1"
"        $2,500 to $2,999","52,251","±4,743","8.9%","±0.8"
"        $3,000 or more","29,326","±2,905","5.0%","±0.5"
"        Median (dollars)","1,766","±16","(X)","(X)"
"        No rent paid","18,403","±2,793","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","574,174","±11,418","574,174","(X)"
"        Less than 15.0 percent","52,811","±5,642","9.2%","±1.0"
"        15.0 to 19.9 percent","59,920","±5,487","10.4%","±0.9"
"        20.0 to 24.9 percent","75,492","±5,989","13.1%","±1.0"
"        25.0 to 29.9 percent","69,897","±5,543","12.2%","±1.0"
"        30.0 to 34.9 percent","53,821","±5,043","9.4%","±0.9"
"        35.0 percent or more","262,233","±8,607","45.7%","±1.3"
"        Not computed","31,940","±3,598","(X)","(X)"
