"Label (Grouping)","Fresno County, California!!Estimate","Fresno County, California!!Margin of Error","Fresno County, California!!Percent","Fresno County, California!!Percent Margin of Error"
"        $1,000,000 or more","7,233","±1,409","3.8%","±0.7"
"        Median (dollars)","395,500","±8,062","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","191,496","±5,276","191,496","(X)"
"        Housing units with a mortgage","123,939","±5,105","64.7%","±1.7"
"        Housing units without a mortgage","67,557","±3,568","35.3%","±1.7"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","123,939","±5,105","123,939","(X)"
"        Less than $500","745","±447","0.6%","±0.4"
"        $500 to $999","5,411","±1,264","4.4%","±1.0"
"        $1,000 to $1,499","23,436","±2,388","18.9%","±2.0"
"        $1,500 to $1,999","33,205","±3,756","26.8%","±2.6"
"        $2,000 to $2,499","26,058","±3,283","21.0%","±2.5"
"        $2,500 to $2,999","15,318","±2,279","12.4%","±1.7"
"        $3,000 or more","19,766","±2,569","15.9%","±2.0"
"        Median (dollars)","1,987","±49","(X)","(X)"
"    Housing units without a mortgage","67,557","±3,568","67,557","(X)"
"        Less than $250","2,904","±897","4.3%","±1.3"
"        $250 to $399","9,570","±1,771","14.2%","±2.5"
"        $400 to $599","17,087","±1,817","25.3%","±2.8"
"        $600 to $799","14,586","±2,211","21.6%","±3.0"
"        $800 to $999","9,871","±1,548","14.6%","±2.1"
"        $1,000 or more","13,539","±2,072","20.0%","±2.7"
"        Median (dollars)","655","±26","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","123,116","±5,211","123,116","(X)"
"        Less than 20.0 percent","48,407","±3,731","39.3%","±2.9"
"        20.0 to 24.9 percent","17,956","±2,305","14.6%","±1.7"
"        25.0 to 29.9 percent","14,351","±2,168","11.7%","±1.7"
"        30.0 to 34.9 percent","9,621","±1,782","7.8%","±1.4"
"        35.0 percent or more","32,781","±3,455","26.6%","±2.5"
"        Not computed","823","±559","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","65,959","±3,619","65,959","(X)"
"        Less than 10.0 percent","30,380","±2,917","46.1%","±3.6"
"        10.0 to 14.9 percent","11,304","±1,496","17.1%","±2.2"
"        15.0 to 19.9 percent","7,909","±1,317","12.0%","±2.0"
"        20.0 to 24.9 percent","3,643","±847","5.5%","±1.2"
"        25.0 to 29.9 percent","2,699","±999","4.1%","±1.5"
"        30.0 to 34.9 percent","1,401","±674","2.1%","±1.0"
"        35.0 percent or more","8,623","±1,751","13.1%","±2.5"
"        Not computed","1,598","±880","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","131,439","±4,819","131,439","(X)"
"        Less than $500","6,080","±1,491","4.6%","±1.2"
"        $500 to $999","20,830","±2,559","15.8%","±1.9"
"        $1,000 to $1,499","46,733","±3,413","35.6%","±2.4"
"        $1,500 to $1,999","30,614","±3,317","23.3%","±2.3"
"        $2,000 to $2,499","16,980","±2,584","12.9%","±1.8"
"        $2,500 to $2,999","6,601","±1,669","5.0%","±1.2"
"        $3,000 or more","3,601","±1,305","2.7%","±1.0"
"        Median (dollars)","1,410","±39","(X)","(X)"
"        No rent paid","5,960","±1,210","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","127,359","±4,729","127,359","(X)"
"        Less than 15.0 percent","10,968","±2,045","8.6%","±1.6"
"        15.0 to 19.9 percent","13,308","±2,262","10.4%","±1.7"
"        20.0 to 24.9 percent","13,705","±2,344","10.8%","±1.8"
"        25.0 to 29.9 percent","13,847","±2,302","10.9%","±1.7"
"        30.0 to 34.9 percent","13,065","±2,173","10.3%","±1.7"
"        35.0 percent or more","62,466","±4,478","49.0%","±2.9"
"        Not computed","10,040","±1,842","(X)","(X)"
